Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Rosemary: (Florida),Sugarcane: (Florida),Okra: (Florida)
2020-12-27,8,24,5,3,2
2021-01-03,7,26,4,2,2
2021-01-10,8,27,4,2,2
2021-01-17,8,32,4,2,2
2021-01-24,8,33,4,2,2
2021-01-31,8,38,4,3,2
2021-02-07,8,43,4,2,2
2021-02-14,8,42,4,2,3
2021-02-21,9,43,4,3,3
2021-02-28,9,73,4,3,2
2021-03-07,9,100,4,2,2
2021-03-14,9,47,4,2,3
2021-03-21,9,33,4,2,2
2021-03-28,10,30,5,2,3
2021-04-04,10,27,4,2,2
2021-04-11,10,26,4,2,3
2021-04-18,9,25,4,2,3
2021-04-25,11,26,4,2,3
2021-05-02,11,27,4,2,3
2021-05-09,11,26,4,2,3
2021-05-16,12,27,5,2,3
2021-05-23,12,26,4,2,3
2021-05-30,12,27,4,3,4
2021-06-06,11,26,4,2,4
2021-06-13,12,27,4,3,4
2021-06-20,11,31,4,2,4
2021-06-27,11,24,4,2,4
2021-07-04,9,24,4,2,3
2021-07-11,10,23,4,2,3
2021-07-18,10,23,5,2,4
2021-07-25,9,23,4,2,4
2021-08-01,9,20,5,2,4
2021-08-08,9,22,4,2,4
2021-08-15,9,21,4,2,3
2021-08-22,9,20,4,2,3
2021-08-29,8,19,4,2,3
2021-09-05,9,21,4,2,3
2021-09-12,8,20,4,2,3
2021-09-19,8,19,3,2,3
2021-09-26,9,19,3,2,3
2021-10-03,9,18,3,2,3
2021-10-10,9,20,4,3,3
2021-10-17,8,19,4,2,3
2021-10-24,7,18,4,2,2
2021-10-31,7,17,5,3,3
2021-11-07,7,21,4,3,2
2021-11-14,8,22,5,2,3
2021-11-21,7,23,7,3,3
2021-11-28,7,18,5,2,2
2021-12-05,7,27,4,2,2
2021-12-12,7,23,5,2,2
2021-12-19,7,27,6,3,2
2021-12-26,7,26,5,3,3
